
==========================================================================
FULL 2024 BACKTEST (Delta India, daily-expiry BTC short straddle, Premium<=15, 10 lots, 5% slippage)   2024-02-15 -> 2024-12-31   (321 days)
==========================================================================
date        status                   spot  liq   cheapC   cheapP      pnl$
2024-08-04  no_fill_both          60670.5    2     46.0    538.0    0.0000
2024-08-05  no_fill_P             58197.5   12      7.0    159.0    0.0000
2024-08-06  TRADED                53998.5   12      0.6      2.0    0.1271
2024-08-07  no_fill_P             56073.0   10      6.0    283.0    0.0000
2024-08-08  TRADED                55121.5    8      9.0      7.0    0.1089
2024-08-09  TRADED                61625.5   21      2.0      1.1    0.1025
2024-08-10  no_fill_both          60780.5    6     57.0     17.0    0.0000
2024-08-11  no_fill_C             60921.5    5     43.0      7.0    0.0000
2024-08-12  no_fill_both          58728.0   10     27.0    229.0    0.0000
2024-08-13  no_fill_C             59321.5    7     21.0      8.0    0.0000
2024-08-14  no_fill_both          60570.0    4    190.0    196.0    0.0000
2024-08-15  no_fill_P             58765.0    7      7.0    100.0    0.0000
2024-08-16  no_fill_P             57501.0   10      3.0     42.0    0.0000
2024-08-17  no_fill_C             58869.5    5     32.0      4.0    0.0000
2024-08-18  no_fill_both          59460.5    4     65.0     63.0    0.0000
2024-08-19  no_fill_both          58430.0    9     22.0     38.0    0.0000
2024-08-20  no_fill_C             59419.5    6     21.0      6.0    0.0000
2024-08-21  no_fill_C             59056.0    7     29.0      5.0    0.0000
2024-08-22  TRADED                61167.0    9     10.5      0.1    0.2211
2024-08-23  TRADED                60367.0    7      3.0     11.0    0.2027
2024-08-24  TRADED                64086.5    9     14.0      3.0    0.1974
2024-08-25  TRADED                64119.0    8     10.0      0.5    0.0672
2024-08-26  no_fill_both          64253.0    9     43.0     20.0    0.0000
2024-08-27  no_fill_P             62851.5    5      3.0    391.0    0.0000
2024-08-28  no_fill_P             59374.5    8      5.0    123.0    0.0000
2024-08-29  no_fill_both          59012.0    4     81.0     70.0    0.0000
2024-08-30  TRADED                59337.0   11      0.2     15.0    0.1974
2024-08-31  TRADED                59104.5    6      9.0      5.0    0.1309
2024-09-01  no_fill_both          58957.5    3    170.0     20.0    0.0000
2024-09-02  no_fill_both          57353.0    7     49.0     81.0    0.0000
2024-09-03  no_fill_both          59139.0    4     38.0     38.0    0.0000
2024-09-04  no_fill_C             57484.5    6     36.0     13.0    0.0000
2024-09-05  no_fill_C             57994.0    5    308.0     11.0    0.0000
2024-09-06  TRADED                56187.5    9     10.0      5.1    0.1413
2024-09-07  no_fill_C             53927.5    4     47.0     13.0    0.0000
2024-09-08  no_fill_both          54175.5    3     24.0    181.0    0.0000
2024-09-09  no_fill_C             54812.5    7     16.0     11.0    0.0000
2024-09-10  no_fill_C             57023.5    8     54.0      4.0    0.0000
2024-09-11  no_fill_both          57656.5    6     17.0     82.0    0.0000
2024-09-12  no_fill_both          57353.0    3    104.0    177.0    0.0000
2024-09-13  TRADED                58129.5    6      2.0      2.0    0.0359
2024-09-14  no_fill_C             60502.5    6     69.0      4.0    0.0000
2024-09-15  no_fill_C             59987.5    4    209.0      0.7    0.0000
2024-09-16  no_fill_both          59113.0    6     77.0     82.0    0.0000
2024-09-17  no_fill_both          58202.5    5     60.0     26.0    0.0000
2024-09-18  no_fill_C             60325.0    5    102.0      0.1    0.0000
2024-09-19  no_fill_C             61724.5   14     31.0      3.0    0.0000
2024-09-20  TRADED                62989.5    6     12.0      5.0    0.1594
2024-09-21  no_fill_C             63191.0    4    321.0      3.0    0.0000
2024-09-22  no_fill_both          63390.5    3     57.0     65.0    0.0000
2024-09-23  no_fill_P             63563.5    4      1.1    157.0    0.0000
2024-09-24  no_fill_P             63356.0    6      6.0     20.0    0.0000
2024-09-25  TRADED                64284.5    6     11.0      7.0    0.1689
2024-09-26  no_fill_both          63124.0    3     47.0    199.0    0.0000
2024-09-27  TRADED                65158.5   11      0.5      4.0    0.1594
2024-09-28  TRADED                65821.0    6     12.0      2.0    0.1647
2024-09-29  no_fill_both          65861.5    3    100.0    263.0    0.0000
2024-09-30  no_fill_both          65585.0    2    120.0    612.0    0.0000
2024-10-01  no_fill_P             63446.0    5      3.0    145.0    0.0000
2024-10-02  no_fill_P             60804.5    5      8.0    147.0    0.0000
2024-10-03  no_fill_P             60661.5    7      2.9    104.0    0.0000
2024-10-04  TRADED                60767.0    9     15.0      0.1    0.1774
2024-10-05  TRADED                62095.5    8      0.2      1.5    0.2640
2024-10-06  no_fill_both          62075.5    2    232.0    152.0    0.0000
2024-10-07  no_fill_both          62811.5    4     41.0     33.0    0.0000
2024-10-08  TRADED                62257.5    9     12.0      5.0    0.1426
2024-10-09  TRADED                62165.0    7      1.0      8.0    0.0823
2024-10-10  no_fill_both          60682.5    5     25.0    106.0    0.0000
2024-10-11  TRADED                60300.0    9      2.0      0.3    0.1678
2024-10-12  TRADED                62537.0    6     11.0      0.4    0.1214
2024-10-13  no_fill_C             63250.0    2        -      0.1    0.0000
2024-10-14  no_fill_both          62864.5    4     33.0    463.0    0.0000
2024-10-15  no_fill_C             66108.0    2        -     10.0    0.0000
2024-10-16  no_fill_both          67145.0    5     80.0     28.0    0.0000
2024-10-17  no_fill_P             67647.5    6     11.0     24.0    0.0000
2024-10-18  no_fill_P             67365.0    5      3.0        -    0.0000
2024-10-19  no_fill_P             68428.5    4      9.0     53.0    0.0000
2024-10-20  no_fill_P             68386.5    4      5.9     27.0    0.0000
2024-10-21  no_fill_both          69027.5    4    100.0     41.0    0.0000
2024-10-22  no_fill_P             67388.5    4      5.0     20.0    0.0000
2024-10-23  TRADED                67429.5    5      4.0     13.0    0.2164
2024-10-24  no_fill_P             66701.5    4      2.0     94.0    0.0000
2024-10-25  TRADED                68253.0    7      0.1      2.0    0.0718
2024-10-26  no_fill_both          66758.0    4     27.0    130.0    0.0000
2024-10-27  no_fill_both          67114.5    3    238.0     21.0    0.0000
2024-10-28  no_fill_P             68065.0    6     13.0     37.0    0.0000
2024-10-29  no_fill_C             69957.0    5     39.0     13.6    0.0000
2024-10-30  no_fill_both          72769.0    3     63.0     16.0    0.0000
2024-10-31  no_fill_C             72415.0    4     24.0     10.0    0.0000
2024-11-01  no_fill_C             70360.0    5     23.0      3.0    0.0000
2024-11-02  TRADED                69526.0    6      3.0      8.0    0.1784
2024-11-03  no_fill_P             69355.5    4      1.0     99.0    0.0000
2024-11-04  no_fill_both          68743.5    6     72.0     23.0    0.0000
2024-11-05  no_fill_P             67829.0    5      5.5    100.0    0.0000
2024-11-06  no_fill_both          69427.5    9    383.0    207.0    0.0000
2024-11-07  no_fill_C             75617.5   11     35.8      2.0    0.0000
2024-11-08  TRADED                75926.0   13      5.0      2.0    0.1689
2024-11-09  TRADED                76475.5    7      5.0      5.0    0.0929
2024-11-10  no_fill_both          76694.0    4     21.0     78.0    0.0000
2024-11-11  no_fill_both          80387.5    6    262.0     60.0    0.0000
2024-11-12  no_fill_C             88888.5   19    355.0      2.9    0.0000
2024-11-13  no_fill_C             87961.5   14    157.0      0.1    0.0000
2024-11-14  no_fill_C             90464.0   14     26.0      4.0    0.0000
2024-11-15  no_fill_both          87322.5   14     40.0     19.0    0.0000
2024-11-16  TRADED                91156.0   11      8.0     10.1    0.1499
2024-11-17  no_fill_both          90681.0    3    302.0     44.0    0.0000
2024-11-18  no_fill_both          89854.0    8    100.1    101.0    0.0000
2024-11-19  no_fill_C             90514.0    9     32.0      6.0    0.0000
2024-11-20  no_fill_both          92350.0    7     37.0     32.0    0.0000
2024-11-21  TRADED                94291.0    9     14.0     12.0    0.1850
2024-11-22  no_fill_C             98450.0   17     44.0      6.0    0.0000
2024-11-23  no_fill_C             98909.0   12     25.0      2.0    0.0000
2024-11-24  no_fill_both          97680.0    7     40.0     26.0    0.0000
2024-11-25  no_fill_both          97987.0    6    626.0     64.0    0.0000
2024-11-26  no_fill_P             93022.0   12      3.0    400.0    0.0000
2024-11-27  no_fill_P             92100.0   11     11.0    125.5    0.0000
2024-11-28  no_fill_both          95875.5    9     27.0     21.0    0.0000
2024-11-29  TRADED                95741.0   10      5.0      7.0    0.2027
2024-11-30  TRADED                97492.5    8      3.0      0.6    0.0929
2024-12-01  no_fill_P             96440.0    4      6.0     27.0    0.0000
2024-12-02  no_fill_both          97306.5   11     48.0     20.0    0.0000
2024-12-03  no_fill_both          95879.5    6     40.0     76.0    0.0000
2024-12-04  no_fill_P             96036.0    8      5.0     56.0    0.0000
2024-12-05  no_fill_C             98710.5   11    155.0      3.0    0.0000
2024-12-06  no_fill_P             97042.5   27      0.3     64.0    0.0000
2024-12-07  no_fill_C             99871.0    9    140.0      9.0    0.0000
2024-12-08  no_fill_C             99944.5    8     52.0      1.1    0.0000
2024-12-09  no_fill_both         101299.5    9     70.0     18.0    0.0000
2024-12-10  no_fill_both          97360.5    8     89.0    179.0    0.0000
2024-12-11  no_fill_C             96625.5   10     22.0     10.0    0.0000
2024-12-12  no_fill_both         101153.5    5     94.0    228.0    0.0000
2024-12-13  TRADED                99940.5   17      0.1      1.9    0.1404
2024-12-14  no_fill_C            101400.0    8     50.0      0.4    0.0000
2024-12-15  no_fill_both         101329.0    4    154.0     61.8    0.0000
2024-12-16  no_fill_both         104508.0   13    370.0     79.0    0.0000
2024-12-17  no_fill_C            106042.5   11     20.0      2.0    0.0000
2024-12-18  TRADED               106098.0    9      5.0     10.0    0.1341
2024-12-19  no_fill_P            100312.5   12      1.1    150.0    0.0000
2024-12-20  TRADED                97650.0   21      0.4      0.1    0.1033
2024-12-21  TRADED                97663.0   15      2.1      4.0    0.2354
2024-12-22  no_fill_C             97278.0    7    524.0      5.0    0.0000
2024-12-23  no_fill_both          95128.5    8    109.0     42.0    0.0000
2024-12-24  no_fill_P             94788.0   13     10.0    128.0    0.0000
2024-12-25  no_fill_C             98667.0   11    157.0      1.0    0.0000
2024-12-26  no_fill_C             99469.5   11    334.0      2.0    0.0000
2024-12-27  TRADED                95754.5   18      3.0      0.1    0.0759
2024-12-28  no_fill_both          94280.5    6     16.0     41.0    0.0000
2024-12-29  TRADED                95227.5   10      8.5      0.3    0.0815
2024-12-30  no_fill_both          93649.5    9     72.0    142.0    0.0000
2024-12-31  no_fill_both          92744.5    8     44.0     45.0    0.0000

  days scanned      : 321
  days TRADED       : 50
  days no_fill_C         : 62
  days no_fill_P         : 60
  days no_fill_both      : 109
  days no_quotes         : 38
  days no_spot           : 2
  win rate          : 50/50 = 100.0%
  TOTAL PnL         : $7.05   (= INR 599 @85)
